73 11032 46122
0 0     1.224100e+02 6.554999e+01
34 11     9.473999e+01 -4.253003e+01
39 11     9.323999e+01 -3.939001e+01
45 11     9.554999e+01 -3.920001e+01
0 12     2.362300e+02 -1.075100e+02
1 12     1.955700e+02 -8.746997e+01
2 12     2.640000e+02 -1.232300e+02
3 12     2.139200e+02 -9.540997e+01
4 12     3.104500e+02 -1.466000e+02
5 12     1.770900e+02 -8.037000e+01
7 12     1.615000e+02 -7.365002e+01
10 12     1.380800e+02 -6.346997e+01
13 12     1.293200e+02 -5.942999e+01
16 12     1.130400e+02 -5.365997e+01
22 12     1.206300e+02 -5.628998e+01
30 12     1.038700e+02 -5.156000e+01
34 12     9.394000e+01 -4.960999e+01
39 12     9.195999e+01 -4.581000e+01
43 12     8.967001e+01 -4.860999e+01
45 12     9.523999e+01 -4.546997e+01
60 12     9.907999e+01 -4.347998e+01
64 12     1.006600e+02 -4.234003e+01
0 13     3.046100e+02 -1.750000e+00
1 13     2.703200e+02 -4.869995e+00
3 13     2.869200e+02 -2.330017e+00
0 14     2.010800e+02 1.210022e+00
1 14     1.912600e+02 -1.109985e+00
4 14     2.132500e+02 2.320007e+00
5 14     1.811800e+02 -2.539978e+00
6 14     2.226000e+02 3.200012e+00
8 14     2.329000e+02 5.489990e+00
11 14     1.656300e+02 -3.020020e+00
12 14     2.716000e+02 1.059003e+01
67 14     -3.779900e+02 1.103003e+01
0 15     2.740200e+02 4.184003e+01
1 15     2.478000e+02 3.334998e+01
3 15     2.605900e+02 3.825000e+01
5 15     2.313700e+02 2.948999e+01
0 16     2.969900e+02 2.090002e+01
1 16     2.640300e+02 1.456000e+01
2 16     3.162400e+02 2.285999e+01
4 16     3.395400e+02 2.702002e+01
49 16     -8.476999e+01 4.179999e+01
52 16     -1.673001e+01 4.666998e+01
54 16     -1.482400e+02 3.628998e+01
58 16     2.291000e+01 4.960999e+01
67 16     -1.764800e+02 3.438000e+01
0 17     1.488000e+02 -2.242999e+01
1 17     1.454700e+02 -2.298999e+01
2 17     1.491700e+02 -2.378998e+01
3 17     1.481200e+02 -2.206000e+01
4 17     1.519800e+02 -2.413000e+01
8 17     1.600500e+02 -2.398999e+01
9 17     1.646900e+02 -2.342999e+01
10 17     1.254700e+02 -2.163000e+01
11 17     1.295100e+02 -2.209998e+01
12 17     1.758200e+02 -2.540997e+01
13 17     1.213800e+02 -2.073999e+01
14 17     1.711300e+02 -2.534998e+01
15 17     1.820800e+02 -2.651001e+01
16 17     1.122400e+02 -2.045001e+01
17 17     1.953400e+02 -2.714001e+01
20 17     1.882900e+02 -2.628998e+01
22 17     1.168100e+02 -2.065002e+01
30 17     1.048800e+02 -2.052002e+01
33 17     2.035700e+02 -2.878003e+01
34 17     9.651001e+01 -2.062000e+01
35 17     1.986400e+02 -2.709998e+01
38 17     2.123700e+02 -2.810999e+01
0 18     9.334000e+01 3.964001e+01
1 18     9.670001e+01 3.690997e+01
2 18     9.082999e+01 4.059998e+01
4 18     9.035001e+01 4.265002e+01
5 18     9.345001e+01 3.484003e+01
6 18     9.070001e+01 4.420001e+01
7 18     9.076001e+01 3.426001e+01
8 18     9.106000e+01 4.691998e+01
9 18     9.129001e+01 4.932001e+01
10 18     8.482999e+01 3.233002e+01
11 18     8.792001e+01 3.373999e+01
12 18     9.323999e+01 5.123999e+01
13 18     8.301001e+01 3.179999e+01
14 18     9.238000e+01 4.988000e+01
15 18     9.392999e+01 5.239001e+01
16 18     7.710999e+01 2.915997e+01
17 18     9.417999e+01 5.723999e+01
20 18     9.392999e+01 5.521997e+01
22 18     8.017001e+01 3.042999e+01
30 18     7.144000e+01 2.798999e+01
33 18     9.526001e+01 5.990997e+01
34 18     6.472000e+01 2.691998e+01
35 18     9.484000e+01 5.919000e+01
38 18     9.564001e+01 6.248999e+01
43 18     6.259000e+01 2.551001e+01
45 18     7.237000e+01 2.462000e+01
47 18     9.757001e+01 6.383002e+01
56 18     1.002600e+02 6.650000e+01
60 18     7.814001e+01 2.465002e+01
64 18     8.192999e+01 2.359003e+01
70 18     1.051500e+02 6.896002e+01
0 19     2.625000e+02 5.317999e+01
1 19     2.310800e+02 3.939001e+01
2 19     2.826200e+02 5.759998e+01
3 19     2.459600e+02 4.647998e+01
5 19     2.130800e+02 3.434003e+01
7 19     1.985800e+02 3.042999e+01
8 19     3.867900e+02 9.092999e+01
61 19     -8.048999e+01 9.792001e+01
0 20     2.002800e+02 2.658002e+01
1 20     1.903100e+02 2.163000e+01
2 20     2.050400e+02 2.781000e+01
3 20     1.957400e+02 2.479999e+01
4 20     2.127300e+02 3.046002e+01
5 20     1.807700e+02 1.921002e+01
6 20     2.218900e+02 3.278998e+01
8 20     2.323800e+02 3.683002e+01
9 20     2.435500e+02 4.129999e+01
12 20     2.708400e+02 4.753003e+01
14 20     2.570400e+02 4.360999e+01
15 20     2.856700e+02 5.101001e+01
17 20     3.209700e+02 6.192999e+01
20 20     3.020900e+02 5.634998e+01
33 20     3.659700e+02 7.328998e+01
35 20     3.421300e+02 6.679999e+01
38 20     3.957800e+02 8.248999e+01
49 20     -3.273600e+02 5.753998e+01
52 20     -2.902400e+02 6.146997e+01
53 20     -2.452900e+02 6.762000e+01
54 20     -3.620900e+02 5.187000e+01
55 20     -2.204200e+02 7.052002e+01
58 20     -2.684600e+02 6.501001e+01
59 20     -1.929300e+02 7.459000e+01
61 20     -3.453000e+02 5.497998e+01
62 20     -3.090300e+02 5.938000e+01
66 20     -1.266300e+02 8.220001e+01
67 20     -3.786100e+02 5.021997e+01
68 20     -1.620800e+02 7.803000e+01
69 20     -5.139999e+01 8.820999e+01
71 20     -8.735999e+01 8.620001e+01
72 20     -3.951600e+02 4.815002e+01
0 21     2.376800e+02 2.258002e+01
1 21     2.201200e+02 1.747998e+01
3 21     2.289500e+02 2.076001e+01
4 21     2.599400e+02 2.741998e+01
0 22     3.142400e+02 1.620001e+01
1 22     2.774600e+02 1.029999e+01
2 22     3.360000e+02 1.784998e+01
4 22     3.653200e+02 2.083002e+01
49 22     -5.197000e+01 3.201001e+01
52 22     2.088000e+01 3.690002e+01
53 22     1.096900e+02 4.191998e+01
55 22     1.590000e+02 4.413000e+01
58 22     6.337000e+01 3.871002e+01
61 22     -8.729999e+01 3.159003e+01
62 22     -1.651999e+01 3.342999e+01
68 22     2.775200e+02 5.415997e+01
72 22     -1.798200e+02 2.453003e+01
0 23     3.493300e+02 2.042999e+01
1 23     3.020800e+02 1.390002e+01
2 23     3.785000e+02 2.229999e+01
3 23     3.243500e+02 1.847998e+01
5 23     2.775700e+02 1.131000e+01
7 23     2.573100e+02 8.789978e+00
11 23     2.397300e+02 8.130005e+00
49 23     1.170001e+01 3.597998e+01
54 23     -6.482999e+01 3.178003e+01
61 23     -2.757001e+01 3.402002e+01
62 23     5.151999e+01 3.748999e+01
67 23     -9.876001e+01 2.991998e+01
72 23     -1.319600e+02 2.804999e+01
0 24     2.933800e+02 1.342999e+01
1 24     2.623300e+02 8.309998e+00
2 24     3.113400e+02 1.494000e+01
3 24     2.775300e+02 1.217999e+01
4 24     3.354200e+02 1.792999e+01
49 24     -9.348001e+01 3.042999e+01
52 24     -2.642001e+01 3.446997e+01
53 24     5.492001e+01 4.007001e+01
54 24     -1.559300e+02 2.590002e+01
55 24     9.991998e+01 4.267999e+01
58 24     1.245001e+01 3.653003e+01
59 24     1.503600e+02 4.821002e+01
61 24     -1.256500e+02 2.835999e+01
62 24     -6.091000e+01 3.159998e+01
66 24     2.752600e+02 5.790997e+01
67 24     -1.840500e+02 2.466998e+01
68 24     2.064400e+02 5.179999e+01
71 24     3.559200e+02 6.270001e+01
72 24     -2.117000e+02 2.282001e+01
0 25     3.400000e+02 1.169000e+01
1 25     2.952900e+02 4.109985e+00
2 25     3.670900e+02 1.303998e+01
3 25     3.167200e+02 7.979980e+00
5 25     2.717900e+02 1.159973e+00
7 25     2.520200e+02 -6.599731e-01
10 25     2.197300e+02 -2.299988e+00
11 25     2.351300e+02 -1.099976e+00
13 25     2.068700e+02 -2.929993e+00
54 25     -7.831000e+01 2.291998e+01
61 25     -4.235999e+01 2.573999e+01
67 25     -1.115200e+02 2.145001e+01
72 25     -1.438900e+02 1.960999e+01
0 26     2.896800e+02 1.594000e+01
1 26     2.596400e+02 1.058002e+01
2 26     3.069900e+02 1.745001e+01
3 26     2.744200e+02 1.412000e+01
4 26     3.300800e+02 2.060999e+01
5 26     2.417200e+02 8.450012e+00
7 26     2.264800e+02 6.590027e+00
11 26     2.132000e+02 5.849976e+00
13 26     1.907000e+02 3.880005e+00
49 26     -1.012100e+02 3.489001e+01
52 26     -3.554999e+01 3.913000e+01
53 26     4.438000e+01 4.539001e+01
54 26     -1.625900e+02 2.989001e+01
55 26     8.844000e+01 4.823999e+01
59 26     1.369600e+02 5.372998e+01
61 26     -1.327500e+02 3.272998e+01
62 26     -6.925000e+01 3.620001e+01
66 26     2.596100e+02 6.521997e+01
67 26     -1.904100e+02 2.838000e+01
68 26     1.927700e+02 5.892999e+01
71 26     3.380100e+02 7.079999e+01
72 26     -2.175900e+02 2.656000e+01
0 27     2.935900e+02 2.520001e+01
1 27     2.622600e+02 1.773999e+01
2 27     3.119600e+02 2.802002e+01
3 27     2.774900e+02 2.217999e+01
4 27     3.360800e+02 3.245001e+01
5 27     2.433500e+02 1.428998e+01
7 27     2.273200e+02 1.134003e+01
10 27     2.010200e+02 8.400024e+00
11 27     2.136800e+02 1.034003e+01
13 27     1.904900e+02 7.450012e+00
16 27     1.702400e+02 4.809998e+00
22 27     1.799000e+02 6.049988e+00
30 27     1.588900e+02 3.719971e+00
34 27     1.470400e+02 2.479980e+00
39 27     1.422000e+02 1.830017e+00
43 27     1.413000e+02 9.000244e-01
0 28     1.954700e+02 2.696997e+01
1 28     1.864900e+02 2.254999e+01
3 28     1.916900e+02 2.551001e+01
8 28     2.258400e+02 3.753003e+01
9 28     2.365900e+02 4.184003e+01
12 28     2.627900e+02 4.833002e+01
16 28     1.356600e+02 1.257001e+01
22 28     1.419000e+02 1.358002e+01
49 28     -3.360600e+02 6.023999e+01
52 28     -3.000100e+02 6.408002e+01
53 28     -2.553800e+02 7.084003e+01
58 28     -2.791300e+02 6.795001e+01
62 28     -3.188600e+02 6.212000e+01
66 28     -1.381900e+02 8.575000e+01
69 28     -6.442001e+01 9.217001e+01
72 28     -4.044300e+02 5.038000e+01
0 29     3.048400e+02 1.719971e+00
1 29     2.710200e+02 -1.950012e+00
2 29     3.245600e+02 1.919983e+00
4 29     3.518700e+02 5.250000e+00
6 29     3.844700e+02 7.010010e+00
7 29     2.348900e+02 -4.450012e+00
61 29     -1.047000e+02 1.397998e+01
0 30     1.954700e+02 2.696997e+01
1 30     1.864900e+02 2.254999e+01
2 30     2.003000e+02 2.860999e+01
3 30     1.916900e+02 2.551001e+01
4 30     2.072600e+02 3.095001e+01
6 30     2.158600e+02 3.317999e+01
7 30     1.687600e+02 1.828998e+01
8 30     2.258400e+02 3.753003e+01
9 30     2.365900e+02 4.184003e+01
11 30     1.616900e+02 1.745001e+01
12 30     2.627900e+02 4.833002e+01
14 30     2.494900e+02 4.439001e+01
17 30     3.108600e+02 6.309003e+01
20 30     2.928700e+02 5.759998e+01
35 30     3.312600e+02 6.848999e+01
38 30     3.823400e+02 8.389001e+01
49 30     -3.360600e+02 6.023999e+01
52 30     -3.000100e+02 6.408002e+01
53 30     -2.553800e+02 7.084003e+01
55 30     -2.312500e+02 7.366998e+01
58 30     -2.791300e+02 6.795001e+01
59 30     -2.040200e+02 7.784000e+01
61 30     -3.547400e+02 5.747998e+01
62 30     -3.188600e+02 6.212000e+01
66 30     -1.381900e+02 8.575000e+01
67 30     -3.882100e+02 5.235999e+01
68 30     -1.732300e+02 8.150000e+01
69 30     -6.442001e+01 9.217001e+01
71 30     -1.000000e+02 8.956000e+01
72 30     -4.044300e+02 5.038000e+01
0 31     8.303000e+01 -1.497000e+02
1 31     7.825000e+01 -1.243500e+02
0 32     2.182001e+01 2.814001e+01
1 32     2.781000e+01 2.727002e+01
4 32     1.576999e+01 2.885999e+01
5 32     2.609000e+01 2.564001e+01
6 32     1.422000e+01 2.909003e+01
7 32     2.509000e+01 2.602002e+01
8 32     1.289999e+01 3.057001e+01
9 32     1.172000e+01 3.159998e+01
12 32     1.048001e+01 3.184998e+01
14 32     1.109000e+01 3.141998e+01
15 32     9.769989e+00 3.159003e+01
17 32     6.130005e+00 3.359003e+01
20 32     7.790009e+00 3.309003e+01
33 32     3.429993e+00 3.332001e+01
35 32     4.790009e+00 3.431000e+01
38 32     2.329987e+00 3.522998e+01
47 32     2.070007e+00 3.450000e+01
56 32     2.220001e+00 3.523999e+01
70 32     4.799988e+00 3.544000e+01
0 33     3.968600e+02 7.104999e+01
1 33     3.342800e+02 5.321997e+01
3 33     3.629900e+02 6.284003e+01
5 33     3.036500e+02 4.642999e+01
7 33     2.793800e+02 4.046002e+01
11 33     2.583300e+02 3.675000e+01
54 33     -6.499939e-01 8.701001e+01
61 33     4.151999e+01 9.226999e+01
67 33     -3.907999e+01 8.270001e+01
0 34     3.589800e+02 1.890002e+01
1 34     3.087700e+02 1.160999e+01
2 34     3.902900e+02 2.146997e+01
3 34     3.323600e+02 1.632001e+01
5 34     2.831400e+02 8.919983e+00
7 34     2.619200e+02 6.650024e+00
11 34     2.435000e+02 5.640015e+00
49 34     2.720999e+01 3.609003e+01
52 34     1.119600e+02 4.134998e+01
54 34     -5.120001e+01 3.077002e+01
58 34     1.617200e+02 4.390002e+01
61 34     -1.307999e+01 3.375000e+01
67 34     -8.607001e+01 2.878003e+01
72 34     -1.202100e+02 2.672998e+01
0 35     3.584200e+02 5.729980e+00
1 35     3.085600e+02 2.800293e-01
2 35     3.896100e+02 6.710022e+00
5 35     2.830900e+02 -1.539978e+00
49 35     2.569000e+01 2.025000e+01
52 35     1.099900e+02 2.446997e+01
54 35     -5.234000e+01 1.601001e+01
61 35     -1.451999e+01 1.840997e+01
62 35     6.641000e+01 2.125000e+01
67 35     -8.706000e+01 1.435999e+01
72 35     -1.209100e+02 1.257001e+01
0 36     3.584200e+02 5.729980e+00
1 36     3.085600e+02 2.800293e-01
2 36     3.896100e+02 6.710022e+00
3 36     3.324800e+02 3.710022e+00
5 36     2.830900e+02 -1.539978e+00
7 36     2.620600e+02 -3.530029e+00
49 36     2.569000e+01 2.025000e+01
52 36     1.099900e+02 2.446997e+01
54 36     -5.234000e+01 1.601001e+01
61 36     -1.451999e+01 1.840997e+01
62 36     6.641000e+01 2.125000e+01
67 36     -8.706000e+01 1.435999e+01
72 36     -1.209100e+02 1.257001e+01
0 37     3.968600e+02 7.104999e+01
1 37     3.342800e+02 5.321997e+01
3 37     3.629900e+02 6.284003e+01
7 37     2.793800e+02 4.046002e+01
49 37     8.625000e+01 9.716000e+01
54 37     -6.499939e-01 8.701001e+01
61 37     4.151999e+01 9.226999e+01
62 37     1.319000e+02 1.007100e+02
72 37     -7.669000e+01 7.842999e+01
0 38     3.577500e+02 6.799927e-01
1 38     3.071200e+02 -3.440002e+00
2 38     3.884000e+02 1.280029e+00
3 38     3.308400e+02 -2.199707e-01
5 38     2.822300e+02 -4.799988e+00
49 38     2.556000e+01 1.331000e+01
54 38     -5.260999e+01 9.599976e+00
58 38     1.597400e+02 1.834998e+01
61 38     -1.464999e+01 1.171002e+01
62 38     6.651001e+01 1.384998e+01
67 38     -8.726999e+01 8.309998e+00
72 38     -1.215200e+02 6.950012e+00
0 39     2.935900e+02 2.520001e+01
1 39     2.622600e+02 1.773999e+01
2 39     3.119600e+02 2.802002e+01
3 39     2.774900e+02 2.217999e+01
4 39     3.360800e+02 3.245001e+01
49 39     -9.154001e+01 4.900000e+01
52 39     -2.435999e+01 5.413000e+01
54 39     -1.545400e+02 4.278998e+01
55 39     1.035000e+02 6.509003e+01
58 39     1.517001e+01 5.721997e+01
59 39     1.532600e+02 7.177002e+01
61 39     -1.238200e+02 4.614001e+01
62 39     -5.891000e+01 5.058002e+01
66 39     2.805500e+02 8.535999e+01
67 39     -1.825400e+02 4.073999e+01
68 39     2.108400e+02 7.776001e+01
0 40     2.933800e+02 1.342999e+01
1 40     2.623300e+02 8.309998e+00
2 40     3.113400e+02 1.494000e+01
3 40     2.775300e+02 1.217999e+01
53 40     5.492001e+01 4.007001e+01
0 41     3.349300e+02 1.130005e+00
1 41     2.917400e+02 -3.200012e+00
3 41     3.125000e+02 8.001709e-02
5 41     2.690100e+02 -4.419983e+00
7 41     2.497900e+02 -5.809998e+00
10 41     2.181200e+02 -6.580017e+00
11 41     2.331300e+02 -5.890015e+00
0 42     2.252500e+02 1.859998e+01
1 42     2.102800e+02 1.402002e+01
2 42     2.327800e+02 1.985999e+01
3 42     2.179100e+02 1.682001e+01
4 42     2.438400e+02 2.232001e+01
5 42     1.985700e+02 1.171002e+01
6 42     2.571100e+02 2.475000e+01
8 42     2.724800e+02 2.920001e+01
9 42     2.892900e+02 3.391998e+01
12 42     3.312400e+02 4.135999e+01
14 42     3.095600e+02 3.701001e+01
15 42     3.553800e+02 4.579999e+01
20 42     3.835300e+02 5.291998e+01
49 42     -2.557800e+02 4.376001e+01
52 42     -2.101000e+02 4.753003e+01
53 42     -1.550100e+02 5.395001e+01
54 42     -2.983800e+02 3.832001e+01
55 42     -1.246700e+02 5.684998e+01
59 42     -9.195999e+01 6.095001e+01
61 42     -2.777500e+02 4.146997e+01
62 42     -2.333600e+02 4.540997e+01
66 42     -1.170001e+01 7.020001e+01
67 42     -3.182600e+02 3.692999e+01
68 42     -5.460999e+01 6.523999e+01
69 42     8.213000e+01 7.732001e+01
71 42     3.644000e+01 7.445001e+01
72 42     -3.379500e+02 3.498999e+01
0 43     3.041100e+02 2.841998e+01
1 43     2.704600e+02 2.056000e+01
2 43     3.236600e+02 3.121002e+01
3 43     2.865100e+02 2.553998e+01
5 43     2.512600e+02 1.738000e+01
7 43     2.351000e+02 1.464001e+01
10 43     2.074100e+02 1.145001e+01
11 43     2.206400e+02 1.334003e+01
13 43     1.967600e+02 1.007001e+01
16 43     1.755500e+02 7.049988e+00
22 43     1.853900e+02 8.450012e+00
30 43     1.638100e+02 5.799988e+00
34 43     1.512000e+02 4.390015e+00
0 44     3.287500e+02 3.170001e+01
1 44     2.884900e+02 2.215997e+01
2 44     3.533200e+02 3.553003e+01
3 44     3.076700e+02 2.806000e+01
5 44     2.662800e+02 1.848999e+01
7 44     2.478000e+02 1.553003e+01
10 44     2.172200e+02 1.145001e+01
11 44     2.321000e+02 1.359998e+01
13 44     2.051700e+02 1.004999e+01
58 44     9.562000e+01 6.623999e+01
67 44     -1.291200e+02 4.653998e+01
68 44     3.237100e+02 9.162000e+01
72 44     -1.601400e+02 4.390002e+01
0 45     1.594000e+01 3.235999e+01
1 45     2.239999e+01 3.133002e+01
2 45     1.181000e+01 3.246997e+01
3 45     1.979001e+01 3.141998e+01
4 45     9.660004e+00 3.333002e+01
5 45     2.087000e+01 2.939001e+01
6 45     7.929993e+00 3.347998e+01
7 45     1.987000e+01 2.958002e+01
8 45     6.640015e+00 3.512000e+01
9 45     5.059998e+00 3.637000e+01
10 45     1.797000e+01 2.829999e+01
11 45     1.914001e+01 2.934998e+01
12 45     3.540009e+00 3.676001e+01
13 45     1.739999e+01 2.872998e+01
14 45     4.519989e+00 3.615997e+01
15 45     2.440002e+00 3.676001e+01
